build plate,แผ่นสร้าง
nozzle,หัวรีด
model,โมเดล
support,นั่งร้าน
slice,ซอยโมเดล
prime tower,หอเตรียมหัวรีด
extruder,เครื่องอัดรีด
layer,เลเยอร์
triangle mesh,โมเดลตาข่ายสามเหลี่ยม
wire printing,การพิมพ์แบบสาย
compressed,แบบบีบอัด
material configuration,ค่าวัสดุ
update,อัปเดต
firmware,เฟิร์มแวร์
feature,ฟีเจอร์
build volume,ปริมาณการสร้าง
machine manager,ผู้จัดการเครื่อง
interface,อินเตอร์เฟซ
engine,เอ็นจีน
meta data,ข้อมูลเมตา
infill,โครงใน
Support Interface,ผิวนั่งร้านรอง
profile,โปรไฟล์ 
override,เขียนแทนเอง
platform,แพลตฟอร์ม
quality type,ประเภทคุณภาพ
hot end,หัวร้อน
heated bed,ฐานสร้างอุ่น
orthographic,ออโธกราฟฟิค
viewport,วิวพอร์ต
overhang,ส่วนลอย
compatiibility,คอมแพทติบิลิตี
